LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
29m         Normal    ScalingReplicaSet              deployment/live-mysql                   Scaled up replica set live-mysql-77955567f6 from 0 to 1
29m         Normal    Killing                        pod/minio-76c6fcc754-x6qcp              Stopping container minio
29m         Normal    ScalingReplicaSet              deployment/minio                        Scaled down replica set minio-76c6fcc754 from 1 to 0
29m         Normal    SuccessfulDelete               replicaset/minio-76c6fcc754             Deleted pod: minio-76c6fcc754-x6qcp
29m         Normal    ScalingReplicaSet              deployment/video-service                Scaled up replica set video-service-7c84f598bd from 0 to 1
29m         Normal    Pulling                        pod/video-service-7c84f598bd-6cm7z      Pulling image "hangyin/video-service:local"
29m         Warning   Unhealthy                      pod/api-gateway-7877b88bc4-mfqk4        Readiness probe failed: Get "http://10.244.0.13:80/gateway/health": dial tcp 10.244.0.13:80: connect: connection refused
29m         Normal    Pulling                        pod/live-service-7d5bd6ff4-qrvhw        Pulling image "hangyin/live-service:local"
29m         Normal    Started                        pod/api-gateway-7877b88bc4-mfqk4        Started container api-gateway
29m         Normal    Pulled                         pod/api-gateway-7877b88bc4-mfqk4        Container image "nginx:1.27-alpine" already present on machine
29m         Normal    Created                        pod/api-gateway-7877b88bc4-mfqk4        Created container: api-gateway
29m         Warning   Unhealthy                      pod/mysql-569f66d567-tqt5n              Readiness probe failed: mysqladmin: [Warning] Using a password on the command line interface can be insecure.
29m         Normal    ScalingReplicaSet              deployment/mysql                        Scaled down replica set mysql-569f66d567 from 1 to 0
29m         Normal    Killing                        pod/mysql-569f66d567-tqt5n              Stopping container mysql
29m         Normal    SuccessfulDelete               replicaset/mysql-569f66d567             Deleted pod: mysql-569f66d567-tqt5n
27m         Warning   Failed                         pod/user-service-7b9964f67b-dwszf       Error: ErrImageNeverPull
27m         Warning   Failed                         pod/frontend-69c5bb6dfc-zk6sm           Error: ErrImageNeverPull
27m         Warning   ErrImageNeverPull              pod/user-service-7b9964f67b-dwszf       Container image "hangyin/user-service:local" is not present with pull policy of Never
